Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
operations manager,entertainment,medium,berlin,low,Low,communication,139078.06691887142,Yes,Decline
marketing specialist,transportation,large,singapore,high,High,javascript,104854.99923573848,No,Stable
marketing specialist,finance,medium,tokyo,low,High,sales,117295.97619484668,No,Stable
data scientist,finance,large,tokyo,high,Medium,python,127434.9563738785,Yes,Growth
ai researcher,energy,small,tokyo,high,High,cybersecurity,99785.1183399889,No,Growth
hr manager,manufacturing,large,new york,low,Medium,marketing,95713.796005344,No,Decline
cybersecurity analyst,retail,medium,new york,high,Low,ux ui design,68665.57782347569,No,Growth
software engineer,energy,small,dubai,low,Low,project management,87667.40135199211,Yes,Stable
software engineer,education,medium,dubai,medium,High,data analysis,75538.24540728275,No,Growth
cybersecurity analyst,healthcare,medium,sydney,medium,Low,python,81978.82299751228,No,Decline
product manager,retail,large,berlin,medium,High,project management,127413.26752384935,No,Growth
hr manager,retail,medium,san francisco,medium,Low,machine learning,92292.4301839998,Yes,Growth
operations manager,education,large,san francisco,high,Medium,data analysis,72482.00844567783,Yes,Decline
ux designer,education,small,singapore,low,Medium,project management,117490.66909382609,No,Decline
product manager,technology,large,tokyo,low,Medium,javascript,109105.50952474898,Yes,Stable
ux designer,energy,small,berlin,low,Medium,marketing,110153.06985200792,No,Growth
ux designer,education,large,paris,medium,High,project management,49877.395937952104,Yes,Stable
product manager,finance,medium,new york,medium,Low,ux ui design,128973.41915442972,Yes,Growth
data scientist,entertainment,large,toronto,low,High,cybersecurity,78829.70515812226,No,Growth
marketing specialist,healthcare,large,london,medium,Medium,javascript,105559.0954558551,Yes,Stable
ux designer,energy,small,sydney,low,High,python,140475.99581234064,Yes,Growth
product manager,telecommunications,medium,tokyo,low,Low,python,133106.65496381235,Yes,Growth
product manager,finance,large,tokyo,low,High,python,70448.75749054627,No,Growth
sales manager,manufacturing,medium,tokyo,low,Low,python,61109.65325995454,Yes,Decline
data scientist,education,large,new york,low,High,cybersecurity,118606.93197695856,Yes,Stable
ai researcher,telecommunications,large,new york,low,Low,project management,92841.11623188,No,Decline
sales manager,education,medium,london,low,Low,sales,79982.3711739584,Yes,Stable
sales manager,retail,large,paris,medium,Medium,project management,102424.37093878096,Yes,Stable
cybersecurity analyst,finance,medium,berlin,low,Low,machine learning,86742.40845081118,Yes,Growth
marketing specialist,retail,large,tokyo,low,Medium,marketing,104026.48274097488,Yes,Stable
product manager,technology,small,san francisco,medium,Medium,data analysis,91339.63615637466,Yes,Decline
marketing specialist,retail,medium,dubai,medium,Medium,sales,104447.75856656334,No,Decline
hr manager,technology,large,san francisco,medium,High,sales,72109.34621727222,No,Decline
cybersecurity analyst,technology,large,singapore,low,High,project management,118489.24026265267,Yes,Stable
ai researcher,telecommunications,small,san francisco,high,High,sales,103952.46741464877,Yes,Decline
marketing specialist,education,medium,singapore,high,High,communication,102925.94738807144,Yes,Stable
software engineer,manufacturing,large,toronto,medium,Low,communication,67646.60145976013,No,Decline
ux designer,retail,small,dubai,high,Low,machine learning,123992.64833288494,No,Decline
hr manager,finance,large,san francisco,medium,High,data analysis,89725.67801267463,Yes,Stable
data scientist,technology,medium,toronto,low,Low,ux ui design,104560.97724859684,Yes,Decline
ai researcher,education,large,sydney,high,Low,cybersecurity,83543.51072506783,No,Growth
hr manager,healthcare,large,berlin,low,Medium,project management,95217.78129364197,Yes,Stable
ux designer,energy,large,toronto,high,Medium,cybersecurity,95942.54704238808,No,Stable
cybersecurity analyst,telecommunications,large,berlin,low,Medium,ux ui design,33601.38135993158,No,Stable
ux designer,manufacturing,small,san francisco,high,Medium,project management,101648.96249309662,Yes,Growth
sales manager,transportation,small,paris,low,Low,project management,129306.82923444168,No,Stable
ux designer,telecommunications,medium,toronto,low,High,data analysis,100795.60517983914,Yes,Decline
sales manager,healthcare,small,dubai,high,Low,cybersecurity,70845.83502220524,Yes,Decline
cybersecurity analyst,energy,small,san francisco,low,Low,communication,102999.23132307774,Yes,Decline
operations manager,healthcare,medium,tokyo,low,Low,python,111189.61060346678,Yes,Stable
sales manager,retail,small,new york,low,Medium,cybersecurity,100249.33032380774,Yes,Decline
data scientist,technology,small,toronto,high,Medium,marketing,88517.45787139912,Yes,Stable
ux designer,manufacturing,medium,dubai,high,Medium,marketing,85157.01548352139,No,Decline
ux designer,entertainment,medium,sydney,low,High,project management,85073.80489266386,No,Growth
data scientist,technology,medium,tokyo,low,Low,python,103955.53802022424,No,Growth
software engineer,entertainment,large,sydney,high,High,javascript,61857.52009880744,No,Growth
product manager,energy,large,san francisco,high,Medium,ux ui design,82562.53678289187,Yes,Growth
operations manager,education,medium,new york,low,High,machine learning,121912.19646021895,No,Stable
ai researcher,transportation,medium,toronto,low,Low,python,122683.90533154352,No,Decline
sales manager,finance,medium,toronto,low,Low,machine learning,60437.05824396676,No,Growth
data scientist,technology,large,paris,medium,Medium,cybersecurity,67371.72777472783,Yes,Stable
cybersecurity analyst,manufacturing,large,paris,high,Medium,cybersecurity,84587.58840944126,No,Growth
sales manager,healthcare,small,san francisco,medium,High,machine learning,107851.79034228704,Yes,Growth
product manager,manufacturing,small,san francisco,high,Medium,ux ui design,53450.51291894019,No,Stable
cybersecurity analyst,energy,medium,new york,high,Medium,python,88903.82730165044,Yes,Stable
hr manager,entertainment,large,paris,high,Low,javascript,80516.4168684071,Yes,Decline
ux designer,healthcare,large,dubai,high,Medium,project management,116519.29348570466,No,Decline
hr manager,finance,large,dubai,high,Medium,data analysis,56461.83052061491,Yes,Growth
sales manager,finance,medium,new york,high,Low,cybersecurity,91850.81230987245,Yes,Growth
product manager,technology,small,dubai,high,Low,marketing,82127.81125302812,No,Decline
operations manager,energy,medium,singapore,medium,High,ux ui design,119395.97852554575,No,Decline
sales manager,education,small,berlin,low,Medium,data analysis,101953.052927065,No,Stable
data scientist,energy,small,new york,low,Low,javascript,78283.6868148453,Yes,Decline
marketing specialist,entertainment,medium,new york,medium,High,sales,107067.72886658164,Yes,Decline
sales manager,manufacturing,small,london,medium,High,project management,82223.42293382852,Yes,Growth
ux designer,finance,small,tokyo,medium,Medium,cybersecurity,109986.59422479507,No,Decline
ux designer,manufacturing,large,tokyo,medium,Medium,project management,85258.46018228843,Yes,Growth
sales manager,manufacturing,small,singapore,high,High,data analysis,111093.33157537528,Yes,Decline
cybersecurity analyst,manufacturing,medium,paris,low,Low,project management,98721.639102545,Yes,Stable
marketing specialist,finance,medium,san francisco,high,High,sales,155209.82161382848,Yes,Decline
data scientist,telecommunications,small,san francisco,low,Medium,data analysis,88942.07989167991,Yes,Decline
sales manager,retail,large,sydney,low,Low,cybersecurity,97657.24583242898,Yes,Decline
cybersecurity analyst,entertainment,large,singapore,medium,Low,python,80411.50516568137,Yes,Growth
ux designer,telecommunications,small,new york,high,High,marketing,90053.70681509557,No,Stable
ux designer,entertainment,small,singapore,medium,Medium,data analysis,35963.29731701118,No,Decline
product manager,healthcare,medium,singapore,high,High,communication,99311.68033082064,No,Growth
sales manager,energy,small,singapore,low,High,sales,116857.48425898825,Yes,Stable
marketing specialist,energy,large,tokyo,medium,High,data analysis,97932.60009198709,Yes,Growth
software engineer,transportation,small,singapore,medium,Low,data analysis,63722.77084045245,No,Growth
marketing specialist,energy,medium,berlin,low,Low,communication,73964.25694581997,Yes,Stable
ux designer,finance,medium,san francisco,low,Medium,cybersecurity,41396.15745687459,No,Decline
ux designer,education,medium,sydney,low,Medium,data analysis,109578.48013730848,Yes,Growth
hr manager,technology,medium,berlin,medium,High,marketing,69869.7341458084,Yes,Growth
ux designer,transportation,medium,sydney,high,High,project management,89425.82819575544,No,Decline
data scientist,technology,small,london,medium,High,cybersecurity,86925.2485534556,No,Decline
ai researcher,entertainment,small,sydney,high,Medium,marketing,119754.54071316532,No,Stable
sales manager,technology,small,san francisco,medium,Low,cybersecurity,91705.62635931476,No,Stable
marketing specialist,technology,small,san francisco,medium,Low,marketing,106177.8584021202,No,Stable
ai researcher,transportation,medium,singapore,low,High,sales,100929.27528295324,Yes,Decline
cybersecurity analyst,healthcare,large,toronto,high,High,marketing,117188.22839922798,Yes,Growth
software engineer,manufacturing,small,london,medium,High,machine learning,85217.52610994082,Yes,Growth
data scientist,energy,large,new york,medium,High,marketing,127392.30661009034,No,Stable
marketing specialist,energy,small,dubai,low,Medium,python,50286.7568720137,No,Decline
ai researcher,finance,small,sydney,low,Low,python,107149.46996002473,No,Growth
software engineer,transportation,large,toronto,high,High,ux ui design,72667.60782671736,No,Stable
hr manager,finance,medium,singapore,medium,Medium,machine learning,80145.00894440095,No,Growth
data scientist,education,small,tokyo,high,High,machine learning,101388.28533802072,No,Growth
data scientist,education,small,new york,medium,High,project management,101228.04099695486,Yes,Decline
hr manager,finance,small,paris,high,Low,machine learning,102128.56027380144,Yes,Decline
sales manager,transportation,large,toronto,low,High,project management,62276.84111789524,Yes,Growth
hr manager,finance,medium,tokyo,medium,Low,ux ui design,118980.6046255848,Yes,Stable
data scientist,energy,large,london,high,Low,ux ui design,71987.05763544649,Yes,Decline
data scientist,telecommunications,large,singapore,low,Low,sales,74654.25819549602,No,Growth
ai researcher,retail,medium,new york,low,Medium,python,102757.93476333655,No,Decline
ux designer,technology,large,new york,high,Medium,marketing,84265.57650477519,No,Decline
software engineer,retail,medium,new york,medium,Low,marketing,96165.21681124983,No,Decline
hr manager,transportation,small,london,medium,High,communication,46867.98606734424,No,Growth
software engineer,retail,medium,sydney,low,Low,communication,95686.48899038463,No,Stable
hr manager,education,small,paris,medium,High,javascript,94356.6375902443,Yes,Stable
cybersecurity analyst,entertainment,large,london,medium,Low,cybersecurity,79802.82924471433,No,Stable
data scientist,technology,large,dubai,medium,High,sales,48518.48080470421,No,Decline
ux designer,manufacturing,small,paris,low,Medium,javascript,85743.8347703679,No,Growth
ai researcher,transportation,large,san francisco,high,High,javascript,89252.52280402774,No,Decline
ux designer,technology,medium,singapore,medium,Low,data analysis,82655.4201933901,Yes,Stable
ux designer,retail,small,london,low,Medium,data analysis,53276.51071135004,Yes,Stable
ux designer,education,large,tokyo,low,High,javascript,121894.68014633832,No,Growth
software engineer,healthcare,small,paris,high,High,machine learning,77222.76944111254,Yes,Decline
hr manager,telecommunications,medium,dubai,medium,High,cybersecurity,85555.90674154198,Yes,Stable
operations manager,manufacturing,medium,san francisco,medium,High,sales,41810.51357563419,No,Growth
cybersecurity analyst,telecommunications,large,sydney,high,High,javascript,121897.10697396414,No,Decline
marketing specialist,technology,medium,tokyo,high,Medium,marketing,80669.00136531888,No,Decline
ux designer,education,small,paris,low,Medium,cybersecurity,91969.25634148406,No,Stable
sales manager,education,medium,singapore,low,Medium,data analysis,112414.74889633304,No,Stable
software engineer,retail,small,tokyo,high,Medium,marketing,76473.91590566748,Yes,Decline
ai researcher,energy,small,san francisco,medium,Low,data analysis,109264.89974773087,No,Decline
marketing specialist,retail,medium,tokyo,low,Medium,data analysis,48773.49088117717,No,Stable
operations manager,energy,large,berlin,low,High,cybersecurity,101019.73315142626,No,Decline
sales manager,energy,medium,toronto,medium,High,data analysis,121444.84333039304,Yes,Stable
operations manager,manufacturing,small,sydney,low,Medium,ux ui design,78391.66305563941,No,Decline
marketing specialist,retail,small,san francisco,medium,High,python,112377.63240596798,No,Stable
ux designer,healthcare,medium,tokyo,medium,Medium,ux ui design,126678.45304387566,No,Growth
sales manager,finance,large,toronto,medium,High,python,84903.16323891962,Yes,Stable
operations manager,finance,large,toronto,high,Low,communication,83249.43428300279,No,Stable
ai researcher,retail,small,tokyo,high,Low,communication,72034.12508335392,No,Growth
hr manager,retail,small,singapore,high,Medium,data analysis,79805.39689629733,No,Decline
data scientist,telecommunications,large,berlin,medium,Medium,sales,73692.80219454759,Yes,Growth
hr manager,manufacturing,medium,london,medium,Medium,sales,72017.77803145545,No,Stable
marketing specialist,retail,small,berlin,high,High,python,113976.70593422712,No,Decline
software engineer,telecommunications,small,tokyo,low,Medium,marketing,74201.47949423481,No,Growth
data scientist,energy,large,sydney,medium,Low,cybersecurity,95170.43829439246,Yes,Decline
cybersecurity analyst,education,medium,london,low,High,data analysis,90764.66870432477,No,Decline
ai researcher,education,large,san francisco,low,Medium,cybersecurity,119961.89125142244,No,Growth
cybersecurity analyst,energy,medium,berlin,medium,High,ux ui design,79936.87535889974,No,Decline
sales manager,transportation,medium,tokyo,medium,High,sales,97622.96093308643,Yes,Growth
data scientist,telecommunications,medium,berlin,low,Medium,machine learning,105821.3940455222,Yes,Stable
cybersecurity analyst,telecommunications,small,london,low,High,ux ui design,119794.99214641162,No,Decline
cybersecurity analyst,energy,large,dubai,high,Low,ux ui design,79644.93309909466,Yes,Stable
operations manager,healthcare,large,paris,high,Low,python,77642.1506253524,Yes,Stable
hr manager,entertainment,medium,berlin,medium,High,project management,68764.37892079895,Yes,Decline
